NAME                2012 BOY RANK  2012 GIRL RANK 2022 BOY RANK  2022 GIRL RANK 
Aaden               916            -              -              -              
Aadhya              -              -              -              981            
Aaliyah             -              36             -              69             
Aarav               584            -              667            -              
Aaron               51             -              71             -              
Abbie               -              790            -              -              
Abbigail            -              621            -              -              
Abby                -              308            -              586            
Abdiel              847            -              788            -              
Abdullah            747            -              789            -              
Abel                192            -              215            -              
Abigail             -              7              -              24             
Abraham             194            -              204            -              
Abram               392            -              638            -              
Abrielle            -              887            -              -              
Abril               -              773            -              -              
Ace                 524            -              153            -              
Ada                 -              487            -              181            
Adalee              -              -              -              673            
Adaline             -              -              -              245            
Adalyn              -              198            -              180            
Adalynn             -              240            -              132            
Adam                82             -              97             -              
Adan                353            -              434            -              
Addilyn             -              696            -              573            
Addilynn            -              -              -              944            
Addison             -              14             -              54             
Addisyn             -              373            -              -              
Addyson             -              256            -              -              
Adelaide            -              343            -              283            
Adele               -              536            -              819            
Adelina             -              702            -              401            
Adeline             -              239            -              92             
Adelyn              -              236            -              287            
Adelynn             -              465            -              349            
Aden                299            -              819            -              
Aditya              965            -              -              -              
Adler               -              -              973            -              
Adley               -              731            -              649            
Adonis              636            -              224            -              
Adrian              60             -              63             -              
Adriana             -              149            -              329            
Adrianna            -              207            -              718            
Adriel              452            -              138            -              
Adrien              700            -              -              -              
Adrienne            -              715            -              -              
Agustin             934            -              929            -              
Ahmad               573            -              634            -              
Ahmed               494            -              663            -              
Ahmir               -              -              870            -              
Aidan               115            -              296            -              
Aiden               10             -              29             -              
Aidyn               796            -              -              -              
Aila                -              -              -              795            
Ailani              -              -              -              464            
Aileen              -              503            -              721            
Aimee               -              844            -              -              
Ainhoa              -              -              -              991            
Ainsley             -              339            -              506            
Aisha               -              577            -              461            
Aitana              -              -              -              325            
Aiyana              -              671            -              -              
Akira               -              958            -              -              
Alaia               -              -              -              138            
Alaina              -              161            -              202            
Alaiya              -              -              -              964            
Alan                170            -              189            -              
Alana               -              173            -              203            
Alani               -              586            -              173            
Alanna              -              488            -              568            
Alannah             -              850            -              -              
Alaric              -              -              915            -              
Alaya               -              813            -              394            
Alayah              -              662            -              366            
Alayna              -              202            -              273            
Alaysia             -              946            -              -              
Albert              401            -              614            -              
Alberto             446            -              701            -              
Alden               774            -              627            -              
Aldo                534            -              939            -              
Aleah               -              421            -              670            
Alec                448            -              739            -              
Aleena              -              517            -              651            
Aleigha             -              858            -              -              
Alejandra           -              392            -              567            
Alejandro           148            -              193            -              
Alena               -              740            -              748            
Alessandra          -              347            -              382            
Alessandro          687            -              540            -              
Alessia             -              -              -              354            
Alex                98             -              190            -              
Alexa               -              57             -              536            
Alexander           9              -              17             -              
Alexandra           -              76             -              189            
Alexandria          -              205            -              410            
Alexia              -              252            -              826            
Alexis              227            40             460            361            
Alexzander          717            -              -              -              
Alfonso             793            -              918            -              
Alfred              949            -              848            -              
Alfredo             492            -              704            -              
Ali                 352            865            299            -              
Alia                -              763            -              587            
Aliana              -              672            -              647            
Alianna             -              -              -              951            
Alice               -              127            -              64             
Alicia              -              272            -              412            
Alijah              454            -              469            -              
Alina               -              269            -              133            
Alisa               -              967            -              -              
Alisha              -              866            -              -              
Alison              -              273            -              455            
Alissa              -              676            -              -              
Alisson             -              845            -              760            
Alistair            -              -              928            -              
Alivia              -              188            -              319            
Aliya               -              597            -              844            
Aliyah              -              140            -              232            
Aliza               -              877            -              752            
Allan               696            -              820            -              
Allen               327            -              562            -              
Allie               -              200            -              472            
Allison             -              38             -              101            
Ally                -              584            -              -              
Allyson             -              255            -              847            
Alma                -              851            -              482            
Alondra             -              281            -              509            
Alonso              736            -              750            -              
Alonzo              567            -              470            -              
Alora               -              -              -              266            
Alvaro              901            -              794            -              
Alvin               522            -              737            -              
Alyson              -              540            -              -              
Alyssa              -              44             -              288            
Alyvia              -              859            -              -              
Amaia               -              -              -              626            
Amalia              -              -              -              580            
Amanda              -              265            -              463            
Amani               -              572            -              581            
Amara               -              567            -              142            
Amare               495            -              -              -              
Amari               309            483            174            320            
Amaris              -              -              -              909            
Amaya               -              215            -              169            
Amayah              -              -              -              701            
Amber               -              260            -              542            
Ambrose             -              -              720            -              
Ameer               963            -              902            -              
Amelia              -              23             -              4              
Amelie              -              631            -              872            
America             -              904            -              -              
Amias               -              -              805            -              
Amina               -              697            -              318            
Amir                247            -              113            -              
Amira               -              502            -              209            
Amirah              -              737            -              577            
Amiri               -              -              521            876            
Amiya               -              646            -              -              
Amiyah              -              379            -              429            
Amora               -              -              -              373            
Amos                807            -              629            -              
Amoura              -              -              -              735            
Amy                 -              144            -              205            
Amya                -              657            -              -              
Ana                 -              217            -              208            
Anabel              -              962            -              -              
Anabella            -              568            -              -              
Anabelle            -              485            -              -              
Anahi               -              549            -              565            
Anais               -              -              -              841            
Anakin              -              -              606            -              
Analia              -              993            -              637            
Anastasia           -              342            -              164            
Anaya               -              476            -              407            
Ander               -              -              572            -              
Anders              900            -              856            -              
Anderson            280            -              337            -              
Andi                -              -              -              771            
Andre               251            -              294            -              
Andrea              -              99             -              155            
Andres              190            -              205            -              
Andrew              18             -              61             -              
Andy                274            -              449            -              
Angel               57             227            62             521            
Angela              -              193            -              226            
Angelica            -              374            -              655            
Angelina            -              132            -              305            
Angeline            -              759            -              -              
Angelique           -              389            -              842            
Angelo              310            -              313            -              
Angie               -              491            -              719            
Anika               -              583            -              821            
Aniya               -              454            -              -              
Aniyah              -              192            -              378            
Ann                 -              959            -              -              
Anna                -              35             -              83             
Annabel             -              519            -              -              
Annabell            -              985            -              -              
Annabella           -              307            -              -              
Annabelle           -              100            -              323            
Annalee             -              920            -              -              
Annalise            -              510            -              417            
Anne                -              561            -              572            
Annie               -              377            -              206            
Annika              -              528            -              838            
Ansley              -              698            -              -              
Anthony             15             -              44             -              
Antoine             848            -              -              -              
Anton               981            -              -              -              
Antonella           -              -              -              434            
Antonio             118            -              177            -              
Anya                -              395            -              486            
Apollo              993            -              388            -              
April               -              396            -              530            
Arabella            -              245            -              231            
Araceli             -              925            -              903            
Araya               -              -              -              895            
Archer              404            -              126            -              
Archie              -              -              377            -              
Arely               -              619            -              -              
Ares                -              -              482            -              
Ari                 435            -              329            438            
Aria                -              91             -              23             
Ariah               -              817            -              460            
Arian               649            -              897            -              
Ariana              -              74             -              90             
Arianna             -              49             -              175            
Ariel               772            181            571            237            
Ariella             -              544            -              183            
Arielle             -              410            -              385            
Aries               -              -              872            -              
Ariya               -              -              -              538            
Ariyah              -              -              -              369            
Arjun               489            -              576            -              
Arlet               -              -              -              741            
Arleth              -              -              -              634            
Arlette             -              -              -              800            
Arlo                818            -              169            -              
Armando             366            -              547            -              
Armani              432            690            398            444            
Arnav               864            -              -              -              
Aron                709            -              722            -              
Artemis             -              -              -              904            
Arthur              355            -              140            -              
Arturo              459            -              579            -              
Arya                -              413            -              121            
Aryan               666            -              817            -              
Aryana              -              738            -              -              
Aryanna             -              531            -              -              
Asa                 562            -              451            -              
Asaiah              -              -              994            -              
Asher               108            -              19             -              
Ashley              -              50             -              154            
Ashlyn              -              206            -              779            
Ashlynn             -              276            -              786            
Ashton              141            -              146            -              
Ashtyn              -              998            -              -              
Asia                -              794            -              -              
Aspen               -              504            -              196            
Aspyn               -              -              -              809            
Astrid              -              -              -              403            
Atharv              -              -              995            -              
Athena              -              247            -              78             
Atlas               -              -              129            -              
Atreus              -              -              582            -              
Atticus             410            -              274            -              
Aubree              -              60             -              238            
Aubrey              -              15             -              81             
Aubri               -              761            -              -              
Aubriana            -              986            -              -              
Aubrianna           -              806            -              -              
Aubrie              -              326            -              891            
Aubriella           -              -              -              930            
Aubrielle           -              938            -              896            
Audrey              -              41             -              67             
Audriana            -              782            -              -              
Audrianna           -              952            -              -              
Audrina             -              440            -              -              
August              333            -              109            862            
Augustine           999            -              623            -              
Augustus            697            -              467            -              
Aurelia             -              -              -              490            
Aurelio             -              -              986            -              
Aurora              -              166            -              31             
Austin              58             -              111            -              
Austyn              898            -              -              -              
Autumn              -              68             -              71             
Ava                 -              5              -              7              
Avah                -              818            -              941            
Avalynn             -              -              -              955            
Avayah              -              -              -              868            
Averi               -              801            -              905            
Averie              -              458            -              517            
Avery               187            13             221            26             
Avi                 -              -              717            -              
Aviana              -              860            -              743            
Avianna             -              933            -              443            
Avyaan              -              -              831            -              
Axel                160            -              77             -              
Axl                 -              -              867            -              
Axton               917            -              639            -              
Aya                 -              989            -              749            
Ayaan               660            -              560            -              
Ayan                -              -              854            -              
Ayana               -              867            -              -              
Ayanna              -              751            -              -              
Aydan               701            -              -              -              
Ayden               69             -              171            -              
Aydin               710            -              -              -              
Ayla                -              250            -              98             
Ayleen              -              726            -              835            
Aylin               -              460            -              431            
Azael               -              -              849            -              
Azalea              -              906            -              404            
Azaria              -              871            -              845            
Azariah             -              963            641            619            
Aziel               -              -              278            -              
Azrael              -              -              732            -              
Azriel              -              -              734            -              
Bailee              -              501            -              887            
Bailey              -              79             -              182            
Baker               -              -              433            -              
Banks               -              -              404            -              
Barbara             -              900            -              976            
Barrett             375            -              208            -              
Baylee              -              336            -              869            
Bayleigh            -              939            -              -              
Baylor              -              -              390            810            
Bear                -              -              767            -              
Beatrice            -              691            -              555            
Beau                311            -              89             -              
Beckett             314            -              195            -              
Beckham             532            -              202            -              
Belen               -              943            -              742            
Bella               -              54             -              85             
Bellamy             -              -              628            717            
Belle               -              -              -              977            
Ben                 745            -              770            -              
Benedict            -              -              963            -              
Benicio             -              -              763            -              
Benjamin            16             -              9              -              
Bennett             202            -              83             -              
Benson              590            -              643            -              
Bentlee             580            -              -              -              
Bentley             75             -              172            -              
Bently              637            -              -              -              
Benton              879            -              -              -              
Berkley             -              -              -              820            
Bethany             -              352            -              666            
Bexley              -              -              -              897            
Bianca              -              312            -              426            
Billie              -              -              -              949            
Billy               662            -              -              -              
Birdie              -              -              -              803            
Bjorn               -              -              776            -              
Blaine              578            -              -              -              
Blair               -              872            -              282            
Blaire              -              -              -              562            
Blaise              918            -              -              -              
Blake               71             694            228            200            
Blakely             -              545            -              167            
Blaze               752            -              752            -              
